radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
bewid,2023-05-03T18:00:00Z,2800,-0.2962855100631714,-0.3891545832157135,-1.511322021484375,0.48910775780677795,217.28407287597656,1.1596864461898804,FALSE,6.682425022125244,0.0,-17.31865692138672,-15.25349235534668,458,11829,580,12210,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3000,0.006677879951894283,0.046363264322280884,-0.9254632592201233,0.04684171453118324,8.19616413116455,1.086785078048706,FALSE,4.815998554229736,0.0,-18.741134643554688,-18.028017044067383,364,8291,421,8643,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3000,-0.21961043775081635,0.36325642466545105,-0.8939964771270752,0.4244808256626129,328.8445129394531,1.079225778579712,FALSE,5.871946334838867,0.0,-17.880178451538086,-17.762571334838867,391,8438,427,8637,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3000,0.045920565724372864,0.31491175293922424,-1.353415846824646,0.31824222207069397,8.29642105102539,1.0250747203826904,FALSE,6.690856456756592,0.0,-17.313180923461914,-16.815519332885742,376,8314,435,8682,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3200,0.19200894236564636,0.17918287217617035,-0.5606436729431152,0.2626288831233978,46.97899627685547,1.1574935913085938,FALSE,8.649981498718262,0.0,-16.197847366333008,-16.19611930847168,435,8657,435,8932,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3200,0.06094595789909363,0.28230971097946167,-0.8136711120605469,0.28881341218948364,12.182246208190918,1.0867431163787842,FALSE,10.957509994506836,0.0,-15.170880317687988,-15.17459774017334,473,8774,473,8941,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3200,-0.010842211544513702,0.2884693741798401,-0.8443903923034668,0.2886730432510376,357.8475341796875,1.1124051809310913,FALSE,10.317858695983887,0.0,-15.432103157043457,-15.428031921386719,436,8622,437,8896,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3400,-0.16745182871818542,0.09083276987075806,-0.8981404304504395,0.19050119817256927,298.47723388671875,1.3112627267837524,FALSE,7.723742485046387,0.0,-16.689722061157227,-16.575302124023438,228,8515,234,8655,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3400,-0.08242865651845932,-0.25493794679641724,-0.4256468713283539,0.2679325342178345,197.91748046875,1.130374550819397,FALSE,5.59554386138916,0.0,-18.089576721191406,-17.96533966064453,259,8509,262,8656,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3400,-0.09512444585561752,0.01975914090871811,-0.729499101638794,0.09715494513511658,281.73455810546875,1.2003403902053833,FALSE,5.365564346313477,0.0,-18.2718448638916,-18.177349090576172,239,8496,240,8662,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3600,-0.014344651252031326,-0.4331755042076111,-0.507803201675415,0.43341293931007385,181.89666748046875,1.0823053121566772,FALSE,10.582849502563477,0.0,-15.321972846984863,-15.330801010131836,384,5897,384,5909,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3600,0.23597773909568787,-0.7540701031684875,-0.3001026213169098,0.790131151676178,162.62307739257812,1.2326611280441284,FALSE,15.47527027130127,0.0,-13.671616554260254,-13.67827320098877,415,5715,415,5837,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3600,0.086204394698143,-0.47141560912132263,-0.16540741920471191,0.4792325794696808,169.63722229003906,1.1166131496429443,FALSE,12.748525619506836,0.0,-14.513399124145508,-14.522253036499023,414,5880,414,5892,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3800,-0.467261403799057,-0.8819790482521057,-0.10009674727916718,0.9981083273887634,207.91407775878906,0.9440522789955139,FALSE,4.960269927978516,0.0,-18.612945556640625,-18.612945556640625,323,6116,323,6116,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3800,-0.4329361021518707,-1.0132511854171753,-0.3046036660671234,1.1018673181533813,203.13577270507812,0.9712936282157898,FALSE,5.035633087158203,0.0,-18.54745864868164,-17.42475128173828,305,5998,312,6143,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,3800,-0.7365061044692993,-1.0437349081039429,0.014577105641365051,1.2774286270141602,215.20851135253906,0.8917955160140991,FALSE,5.1576828956604,0.0,-18.443452835083008,-18.443452835083008,323,6132,323,6132,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4000,-0.818760335445404,-0.7183646559715271,-0.14192330837249756,1.089227318763733,228.73690795898438,0.9299285411834717,FALSE,5.026389122009277,0.0,-18.555437088012695,-18.555437088012695,270,6181,270,6181,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4000,-0.8926611542701721,-0.786848247051239,-0.08074074238538742,1.1899471282958984,228.60499572753906,1.0521306991577148,FALSE,5.700203895568848,0.0,-18.00909423828125,-17.46160316467285,236,6093,241,6199,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4000,-0.9331886768341064,-0.6985317468643188,-0.12018686532974243,1.1656705141067505,233.18356323242188,0.8857303857803345,FALSE,4.640397548675537,0.0,-18.902446746826172,-18.902446746826172,251,6213,251,6213,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4200,-0.6315728425979614,-0.1996467262506485,-1.065719723701477,0.6623768210411072,252.45770263671875,1.1079009771347046,FALSE,3.653218984603882,0.0,-19.941242218017578,-19.941242218017578,109,5640,109,5640,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4200,-0.5124287605285645,-0.09040489792823792,-1.060975193977356,0.5203424692153931,259.9945983886719,1.1408343315124512,FALSE,3.814227819442749,0.0,-19.75393295288086,-18.883285522460938,105,5531,107,5648,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4200,-0.4568839371204376,0.014419781044125557,-1.0619640350341797,0.4571114182472229,271.8077087402344,1.124919056892395,FALSE,3.834310293197632,0.0,-19.73112678527832,-19.73112678527832,102,5632,102,5632,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,3.781402349472046,0.3437638580799103,-19.79146957397461,-19.79146957397461,78,6403,78,6403,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
